index,name,place,time,type,spend,mood
0,Ajanta and Ellora Caves,"Aurangabad, Maharashtra",1-2 Days,"Historical, Art",2500,"Ancient, profound"
1,Ajanta and Ellora Caves Festival,"Aurangabad, Maharashtra",Variable,"Cultural, Art",3000 (during festival),"Classical dance performances, cultural immersion"
2,Allepey Beaches (Mararikulam/Alappuzha),"Alappuzha, Kerala",Variable,"Beach, Relaxation",3000,"Secluded beaches, yoga retreats"
3,Allepey Carnival,"Alappuzha, Kerala",Variable,"Cultural, Festival",2500 (during festival),"Boat races, cultural performances"
4,Alleppey Backwaters (Backwaters Cruise),"Kerala, India",1 Day,Nature,Variable,"Scenic, Relaxing"
5,Alleppey Beaches,"Alappuzha, Kerala",1-2 Days,"Beach, Relaxation",3500,"Laid-back, serene beaches"
6,Alleppey Carnival,"Alappuzha, Kerala",Variable,"Cultural, Festival",2500 (during festival),"Boat races, cultural performances"
7,Amber Fort,"Jaipur, Rajasthan",Half Day,Historical,1500,"Majestic, hilltop views, Grand"
8,Amber Fort (Elephant Ride),"Jaipur, India",Half Day,Historical,Variable,RoyalExperience
9,Andaman and Nicobar Islands,Port Blair,Variable,"IslandParadise, Beaches",4000,"Pristine, adventurous"
10,Andaman Cellular Jail,"Port Blair, Andaman and Nicobar Islands",Half Day,Historical,1000,"Colonial prison, historical significance"
11,Andaman Cellular Jail Light and Sound Show,"Port Blair, Andaman and Nicobar Islands",Half Day,"Historical, Entertainment",1500,Dramatic storytelling of colonial prison
12,Andaman Scuba Diving,Andaman and Nicobar Islands,Variable,"Adventure, Sport",5000+ (activity cost),"Explore coral reefs, marine life"
13,Angkor Wat,"Siem Reap, Cambodia",2-3 days,"Historical, Religious",$50-100,"Spiritual, Enchanting"
14,Aromatic Plantation Tour (Coorg),"Coorg, Karnataka",Half Day,"Educational, Cultural",1500,"Learn about coffee, cardamom, and other aromatic plants"
15,Auschwitz-Birkenau,Poland,1 day (day trip from Krakow),"Historical, Somber",$75-150,"Sobering, Reflective"
16,Backpacking in the Himalayas (Himachal Pradesh/Uttarakhand),Himachal Pradesh/Uttarakhand,Variable,"Adventure, Nature",2500,"Breathtaking scenery, challenging hikes"
17,Backpacking in the Western Ghats (Kerala/Karnataka),Kerala/Karnataka,Variable,"Adventure, Nature",2500,"Lush landscapes, diverse wildlife, challenging hikes"
18,Backwaters of Kashmir,"Srinagar, Jammu and Kashmir",2-3 Days,"Nature, Relaxation",4000,"Serene lakes, houseboat stays"
19,Backwaters of Odisha (Chilika Lake),Odisha,2-3 Days,"Nature, Wildlife",3000,"Bird watching, boat tours, serene landscapes"
20,Backwaters of Puducherry,Puducherry,2 Days,"Nature, Relaxation",3500,"Serene canals, boat tours"
21,"Bali, Indonesia",Southeast Asia,1-2 days,"Beach, Culture",$50-100,"Spiritual, Vibrant"
22,Baramura Caves (Temple Caves),Meghalaya,Half Day,"Historical, Religious",1000,"Ancient, cave, temples, intricate, carvings"
23,Bhimbetka Caves,Madhya Pradesh,1 Day,"Historical, Art",1500,"Prehistoric paintings, ancient"
24,Bollywood Studio Tour (Mumbai/Hyderabad),Mumbai/Hyderabad,Half Day,"Entertainment, Cultural",2000,See behind-the-scenes of Indian cinema
25,Buckingham Palace,"London, England",Half day,"Historical, Landmark",$100-200,"Royal, Ceremonial"
26,Budapest,Hungary,1-2 days,"Culture, ThermalBaths",$100-150,"Romantic, Historical"
27,Chernobyl Exclusion Zone,Ukraine,1 day (guided tour from Kiev),"Historical, OfftheBeatenPath",$150-200,"Eerie, Unsettling"
28,Cherry Blossoms in Japan,"Various Locations, Japan",Variable,Cultural,Variable,Tranquil
29,Chettinad Villages & Heritage Homestays,Tamil Nadu,1-2 Days,"Cultural, Historical",3000,Experience traditional Chettinad lifestyle
30,Chichen Itza,"Yucatan Peninsula, Mexico",1 Day,Historical,$40-80,Mystical
31,Chittorgarh Fort,Rajasthan,1 Day,Historical,2000,"Largest fort in India, historic battles, historical significance"
32,Christ the Redeemer,"Rio de Janeiro, Brazil",1 day,"Religious, Landmark",$100-200,"Uplifting, Panoramic"
33,Colosseum,"Rome, Italy",1-3 days,Historical,$100-200,"Grand, Powerful, Ancient"
34,Coorg (Hill station),Karnataka,2-3 Days,"HillStation, Nature",3000,"Lush green, serene"
35,Coorg Coffee Plantation Tour,"Coorg, Karnataka",Half Day,"Cultural, Educational",1000,Learn about coffee cultivation and processing
36,Darjeeling Himalayas,"West Bengal, India",2-3 Days,"Mountains, HillStation, Scenic",3500,"Breathtaking, Picturesque, charming"
37,Darjeeling Toy Train Ride,"Darjeeling, West Bengal",Half Day,"Scenic, Historical",1500,"Enjoy scenic journey on a historic narrow-gauge railway, mountain views"
38,Desert Camping (Thar Desert),"Jaisalmer, Rajasthan",Variable,"Adventure, Nature",3000,Experience desert nights under
39,Desert Festival (Jaipur),Rajasthan,Variable,"Cultural, Festival",3500 (during festival),"Colorful processions, vibrant performances"
40,Desert Festival (Jaisalmer),Rajasthan,Variable,"Cultural, Festival",3500 (during festival),"Camel parades, folk music and dance"
41,Deserts of Kutch (Gujarat),Gujarat,Variable,"Adventure, Cultural",3000,"Explore salt deserts, unique culture"
42,Dhanchi Lake Bird Sanctuary (Rajasthan),"Bharatpur, Rajasthan",Half Day,"Wildlife, Nature",1500,Diverse birdwatching opportunities
43,Dhanushkodi Beach (Ghost Town),Tamil Nadu,1 Day,"Historical, Offbeat",2000,"Abandoned town, scenic beach, unique experience"
44,Disneyland Park (Halloween Night),"Anaheim, California, USA",1 Day,ThemePark,$100-200+,"Spooky, Fun"
45,Dooars Elephant Sanctuary Visit (West Bengal),West Bengal,Half Day,"Wildlife, Ethical",2000,Observe rescued elephants in their natural habitat
46,Dzukou Valley and Kohima (Hornbill Festival),Nagaland,Variable,"Scenic, Cultural",4000 (during festival),"Breathtaking valley, vibrant tribal festival"
47,Easter Island,"Rapa Nui, Chile",1-2 days (flight),"Archaeological, Remote, Historical",$200-300,"Enigmatic, Intriguing"
48,Eiffel Tower,"Paris, France",1-3 days,Landmark,$150-250,"Romantic, Bustling"
49,Elephanta Caves Festival,"Mumbai, Maharashtra",Variable,"Cultural, Art, Historical",2500 (during festival),"Classical dance performances, cave backdrop, Rock-cut caves, spiritual"
50,Fjordland National Park,New Zealand,1-2 weeks (hiking/cruising),"Fjords, Wilderness",$200-300,"Dramatic, Untouched"
51,Franz Josef Glacier,"West Coast, New Zealand",1 Day,Natural Wonder,$100-200,Glacial
52,French Quarter (Pondicherry),Puducherry,1 Day,"Historical, Colonial",2000,"French colonial architecture, cafes"
53,Gateway of India,"Mumbai, Maharashtra",Half Day,"Historical, Landmark",1000,"Iconic, symbolic, Historic, Bustling"
54,Gion District (Geisha Spotting),"Kyoto, Japan",Half Day,Cultural,Variable,"Elegant, Traditional"
55,Goa Beaches,"Goa, India",Variable,Beach,$50-100/night,Relaxing
56,Goa Beaches (Watersports),"Goa, India",Variable,Beach,Variable,Adventurous
57,Golden Gate Bridge,"San Francisco, USA",Half Day,Landmark,Free (toll for vehicles),Iconic
58,Golden Temple,"Amritsar, Punjab",1 Day,Religious,2000,"Peaceful, spiritual"
59,Golden Temple Langar (Free Community Kitchen),"Amritsar, Punjab",Half Day,"Cultural, Religious",Free,Witness selfless service and community spirit
60,Grand Canyon,"Arizona, USA",1-2 Days,NaturalWonder,$50-100,Immense
61,Great Barrier Reef,Australia,1-2 days (flight + boat),Natural Wonder,$200-300,"Pristine, Diverse, Enchanting"
